MT-TF	ENSG00000210049
CYB5AP2	ENSG00000214369
BTN2A3P	ENSG00000124549
SSB	ENSG00000138385
RPL23AP25	ENSG00000233084
RAD51D	ENSG00000185379
LINC02901	ENSG00000203711
IGHV1OR16-1	ENSG00000261704
RPL31P13	ENSG00000228646
IGHV1OR16-3	ENSG00000260048
LINC01344	ENSG00000228918
IGHV3OR16-9	ENSG00000270472
HERC2P4	ENSG00000230267
METTL5	ENSG00000138382
SMYD3-AS1	ENSG00000226876
ZNF670	ENSG00000277462
DDX23	ENSG00000174243
WNT11	ENSG00000085741
ADSS2	ENSG00000035687
ABHD17AP8	ENSG00000260540
ECT2	ENSG00000114346
TP53TG3D	ENSG00000205456
FOLR2	ENSG00000165457
PLD5	ENSG00000180287
NPIPB9	ENSG00000196993
RND1	ENSG00000172602
PRSS33	ENSG00000103355
ADCY6	ENSG00000174233
NSA2P5	ENSG00000227176
NXNP1	ENSG00000226693
ELF3-AS1	ENSG00000234678
RNU6-1006P	ENSG00000252807
BANF1P4	ENSG00000223828
LMOD1	ENSG00000163431
P2RX3	ENSG00000109991
CHD9	ENSG00000177200
RNF217-AS1	ENSG00000236548
HSPD1	ENSG00000144381
MPHOSPH9	ENSG00000051825
ACBD6	ENSG00000230124
LINC00271	ENSG00000231028
INPPL1	ENSG00000165458
AKAP8L	ENSG00000011243
KCNH1	ENSG00000143473
ATXN1-AS1	ENSG00000229931
FOXP4-AS1	ENSG00000234753
SCIRT	ENSG00000237686
KANSL1	ENSG00000120071
HCG18	ENSG00000231074
CD44	ENSG00000026508
CDK2AP1	ENSG00000111328
RNA5SP375	ENSG00000199845
SBNO1	ENSG00000139697
RETREG1	ENSG00000154153
XRN1	ENSG00000114127
Y_RNA	ENSG00000207189
MIR8072	ENSG00000284425
MTRFR	ENSG00000130921
ST7L	ENSG00000007341
CHST5	ENSG00000135702
DHX37	ENSG00000150990
TNPO1	ENSG00000083312
UBR3	ENSG00000144357
SH2B1	ENSG00000178188
TMEM30A-DT	ENSG00000225793
LINC02520	ENSG00000204110
YJU2B	ENSG00000104957
CMAHP	ENSG00000168405
RPEP5	ENSG00000234732
TIMM8AP1	ENSG00000231445
EIF3EP2	ENSG00000224674
BRI3BP	ENSG00000184992
GCG	ENSG00000115263
THRIL	ENSG00000280634
MRI1	ENSG00000037757
AACS	ENSG00000081760
VPS53	ENSG00000141252
SEZ6L2	ENSG00000174938
RNA5SP112	ENSG00000251746
LINC01621	ENSG00000235357
STUB1P1	ENSG00000226273
Y_RNA	ENSG00000201102
KRT8P40	ENSG00000213069
MIR4444-1	ENSG00000284252
LINC01564	ENSG00000235899
KU-MEL-3	ENSG00000205444
NFE2L2	ENSG00000116044
C19orf53	ENSG00000104979
SERPINB9P1	ENSG00000230438
CC2D1A	ENSG00000132024
LINC02528	ENSG00000226004
LINC01012	ENSG00000281706
TAGAP-AS1	ENSG00000271913
DLG1	ENSG00000075711
DNAJC19P5	ENSG00000225808
MIR3128	ENSG00000265396
MIR6512	ENSG00000278418
GRIN2B	ENSG00000273079
H3P7	ENSG00000237178
TTC30B	ENSG00000196659
TTC30A	ENSG00000197557
DPP4	ENSG00000197635
LINC01600	ENSG00000164385
CCL25	ENSG00000131142
PACRG-AS1	ENSG00000281692
SLC35F3-AS1	ENSG00000236244
LINC02532	ENSG00000235142
RBBP5	ENSG00000117222
ACSBG2	ENSG00000130377
LLPH	ENSG00000139233
SLC22A31	ENSG00000259803
LLPH-DT	ENSG00000239335
IRAK3	ENSG00000090376
NPIPB8	ENSG00000255524
SRA1	ENSG00000213523
OR8H1	ENSG00000181693
MYBPC3	ENSG00000134571
XPR1	ENSG00000143324
HLA-L	ENSG00000243753
BANP	ENSG00000172530
RPS26P18	ENSG00000229087
RBMS1P1	ENSG00000225422
JADE2	ENSG00000043143
MIR6502	ENSG00000284011
LINC01804	ENSG00000231031
PDCL3P7	ENSG00000256777
RN7SKP166	ENSG00000222744
RPL21P35	ENSG00000231494
HELB	ENSG00000127311
RPL23AP26	ENSG00000228884
TEX44	ENSG00000177673
RN7SL499P	ENSG00000239202
DDX1	ENSG00000079785
GMDS-DT	ENSG00000250903
SNRPGP10	ENSG00000235363
LINC01699	ENSG00000179452
RPSAP20	ENSG00000229871
CHCHD4P5	ENSG00000225222
GRIP1	ENSG00000155974
KIF14	ENSG00000118193
WDR55	ENSG00000120314
MYO7A	ENSG00000137474
RPS7P3	ENSG00000231940
STYXL2	ENSG00000198842
SMIM33	ENSG00000283288
HMHB1	ENSG00000158497
CCDC192	ENSG00000230561
IL31RA	ENSG00000164509
RN7SL663P	ENSG00000275132
SPINT2	ENSG00000167642
COLGALT2	ENSG00000198756
ILRUN-AS1	ENSG00000272288
TSBP1-AS1	ENSG00000225914
LYPD8	ENSG00000259823
AFDN-DT	ENSG00000198221
GAPDHP29	ENSG00000178596
PPP1R14A	ENSG00000167641
PCNX2	ENSG00000135749
UFL1-AS1	ENSG00000233797
NOMO2	ENSG00000185164
SCAT8	ENSG00000236345
Y_RNA	ENSG00000200209
YIF1B	ENSG00000167645
IER3-AS1	ENSG00000272273
HLA-DPB2	ENSG00000224557
HPAT5	ENSG00000280707
TRAF3IP2-AS1	ENSG00000231889
LINC00574	ENSG00000231690
ZSCAN16-AS1	ENSG00000269293
OR2Y1	ENSG00000174339
GPR151	ENSG00000173250
HMGN3-AS1	ENSG00000270362
TCERG1	ENSG00000113649
OSBPL9P5	ENSG00000256285
LINC00243	ENSG00000214894
OSBPL9P4	ENSG00000256420
CNIH3	ENSG00000143786
RAB11AP2	ENSG00000255976
SLC11A2	ENSG00000110911
CASC15	ENSG00000272168
MOB2	ENSG00000182208
PDIA3P1	ENSG00000180867
UBE2V1P13	ENSG00000224584
SDCCAG8	ENSG00000054282
HPX	ENSG00000110169
MYLPF	ENSG00000180209
CELSR2	ENSG00000143126
HYOU1	ENSG00000149428
CMTR2	ENSG00000180917
C19orf33	ENSG00000167644
CALB2	ENSG00000172137
PCDHGA1	ENSG00000204956
PCDHGA2	ENSG00000081853
FUT1	ENSG00000174951
HNRNPA1P54	ENSG00000236539
TRMT1	ENSG00000104907
SLC35F3	ENSG00000183780
PCDHGA3	ENSG00000254245
DPY19L4P1	ENSG00000229663
PCDHGB1	ENSG00000254221
LYST-AS1	ENSG00000229463
ZNF281	ENSG00000162702
PCDHGA4	ENSG00000262576
VDAC1P4	ENSG00000235060
PCDHGB2	ENSG00000253910
MAEL	ENSG00000143194
PCDHGA5	ENSG00000253485
LINC02136	ENSG00000261348
PCDHGB3	ENSG00000262209
ZNF23	ENSG00000167377
PCDHGA6	ENSG00000253731
PCDHGA7	ENSG00000253537
TRDN-AS1	ENSG00000235535
PCDHGB4	ENSG00000253953
PCDHGA8	ENSG00000253767
NCL	ENSG00000115053
PCDHGA9	ENSG00000261934
RN7SKP127	ENSG00000222375
PCDHGA10	ENSG00000253846
C16orf54	ENSG00000185905
PCDHGB7	ENSG00000254122
ZG16	ENSG00000174992
CLIP3	ENSG00000105270
PCDHGA11	ENSG00000253873
PRRT2	ENSG00000167371
PCDHGB8P	ENSG00000248449
PCDHGA12	ENSG00000253159
RABGAP1L-AS1	ENSG00000229531
PCDHGB9P	ENSG00000276545
PCDHGC3	ENSG00000240184
ARID4B	ENSG00000054267
THAP8	ENSG00000161277
RDH16	ENSG00000139547
PAGR1	ENSG00000280789
DNAJC14	ENSG00000135392
POLR2I	ENSG00000105258
MVP	ENSG00000013364
ACTR6	ENSG00000075089
TBCB	ENSG00000105254
RN7SL68P	ENSG00000242020
PCDHGC4	ENSG00000242419
HNRNPA3	ENSG00000170144
NAT10	ENSG00000135372
PCDHGC5	ENSG00000240764
DIAPH1-AS1	ENSG00000246422
RPS27AP10	ENSG00000240974
KIF22	ENSG00000079616
HDAC3	ENSG00000171720
CAPNS1	ENSG00000126247
CLIP1	ENSG00000130779
RELL2	ENSG00000164620
ARL16	ENSG00000214087
TMEM78	ENSG00000177800
SH3BP5L	ENSG00000175137
CNTN5	ENSG00000149972
WNT2B	ENSG00000134245
PCDHGB5	ENSG00000276547
EXOC3-AS1	ENSG00000221990
RNF157	ENSG00000141576
AHRR	ENSG00000063438
RABGAP1L-DT	ENSG00000227373
SETP10	ENSG00000231905
MAPK8IP3	ENSG00000138834
LDHAP2	ENSG00000235674
GEMIN8P4	ENSG00000228175
PEBP1P3	ENSG00000236278
NUCKS1	ENSG00000069275
PAM	ENSG00000145730
ZNF468	ENSG00000204604
MIR4786	ENSG00000264279
OR9S24P	ENSG00000231278
OR5S1P	ENSG00000213048
COPS9	ENSG00000172428
ARHGEF18-AS1	ENSG00000267852
ATP5MGP6	ENSG00000267376
ATF4P3	ENSG00000228218
MAP3K21	ENSG00000143674
UBALD2	ENSG00000185262
OTOS	ENSG00000178602
WDR62	ENSG00000075702
KDM6B	ENSG00000132510
U3	ENSG00000276366
NAV2	ENSG00000166833
FYB2	ENSG00000187889
NDUFA10	ENSG00000130414
TIMM17A	ENSG00000134375
ZNF131	ENSG00000172262
CDC7	ENSG00000097046
KRTAP17-1	ENSG00000186860
TBC1D3P7	ENSG00000233014
KRT33A	ENSG00000006059
KRT33B	ENSG00000131738
KRT31	ENSG00000094796
TEX50	ENSG00000232113
COX20	ENSG00000203667
KRT41P	ENSG00000225438
KRT37	ENSG00000108417
NDUFAF4P4	ENSG00000231378
FAM20A	ENSG00000108950
RABGAP1L-IT1	ENSG00000223525
LINC01691	ENSG00000224857
C5orf63	ENSG00000164241
POPDC2	ENSG00000121577
TSEN15P2	ENSG00000230604
LINC01363	ENSG00000231605
NDUFA3	ENSG00000170906
CRISPLD2	ENSG00000103196
SERTAD4-AS1	ENSG00000203706
ARHGEF28	ENSG00000214944
GPR52	ENSG00000203737
ST8SIA1	ENSG00000111728
RPL10P4	ENSG00000238003
CD47	ENSG00000196776
FEN1P1	ENSG00000215873
SMYD3	ENSG00000185420
COX17	ENSG00000138495
ZNF140	ENSG00000196387
CACNA2D2	ENSG00000007402
PRPF31	ENSG00000105618
ARSG	ENSG00000141337
LINC02176	ENSG00000260340
ZDHHC7	ENSG00000153786
NUAK1	ENSG00000074590
CIBAR2	ENSG00000153789
KLHL20	ENSG00000076321
TBC1D15	ENSG00000121749
AMZ2	ENSG00000196704
LINC02139	ENSG00000278214
COX6CP16	ENSG00000270313
LINC00311	ENSG00000179219
MIR5093	ENSG00000266307
KIAA0513	ENSG00000135709
EIF4A1P11	ENSG00000231564
HAX1	ENSG00000143575
CDR2	ENSG00000140743
CDR2-DT	ENSG00000260790
MFSD13B	ENSG00000230872
CNOT3	ENSG00000088038
RRN3P3	ENSG00000257122
OTOAP1	ENSG00000257838
NTPCR	ENSG00000135778
LINC02890	ENSG00000260905
NPIPB5	ENSG00000243716
HMGB3P6	ENSG00000213070
ABHD17AP3	ENSG00000250536
RAB29	ENSG00000117280
Y_RNA	ENSG00000202332
TMEM94	ENSG00000177728
NUCB2	ENSG00000070081
DMXL1	ENSG00000172869
C8A	ENSG00000157131
LINC01681	ENSG00000233985
ERI2	ENSG00000196678
PANX1	ENSG00000110218
SERTAD4	ENSG00000082497
H1-7	ENSG00000187166
ARPC3P3	ENSG00000256745
GPR83	ENSG00000123901
OVAAL	ENSG00000236719
ZDHHC17	ENSG00000186908
KCTD3	ENSG00000136636
DPP3	ENSG00000254986
LENG1	ENSG00000105617
DCUN1D3	ENSG00000188215
TMC4	ENSG00000167608
LYRM1	ENSG00000102897
BMP8B-AS1	ENSG00000285905
DNAH3	ENSG00000158486
LINC01682	ENSG00000227043
HOXC5	ENSG00000172789
SIRT4	ENSG00000089163
ZC3H12A	ENSG00000163874
PRKRA	ENSG00000180228
OR2AP1	ENSG00000179615
OR6C2	ENSG00000179695
CLEC4A	ENSG00000111729
RAD1P2	ENSG00000233473
HHAT	ENSG00000054392
ZNF300	ENSG00000145908
MIR6785	ENSG00000284595
CASKIN2	ENSG00000177303
MBOAT7	ENSG00000125505
FAT2	ENSG00000086570
ARIH2	ENSG00000177479
PHLDA1	ENSG00000139289
GLT8D2	ENSG00000120820
SLC25A48	ENSG00000145832
SRCAP	ENSG00000080603
CD244	ENSG00000122223
TSEN54	ENSG00000182173
C11orf91	ENSG00000205177
LIN7A	ENSG00000111052
CD59	ENSG00000085063
KIAA0825	ENSG00000185261
TSEN34	ENSG00000170892
PJVK	ENSG00000204311
C12orf71	ENSG00000214700
FIGNL2	ENSG00000261308
ZNF891	ENSG00000214029
PRELID2	ENSG00000186314
LLGL2	ENSG00000073350
LMBR1L	ENSG00000139636
LMF1-AS1	ENSG00000260439
CEROX1	ENSG00000260807
CR2	ENSG00000117322
NUDCP2	ENSG00000238082
SOX8	ENSG00000005513
PLEKHA3	ENSG00000116095
RPS9	ENSG00000170889
TENT2	ENSG00000164329
ZG16B	ENSG00000162078
SNRPG	ENSG00000143977
FBXO3	ENSG00000110429
PRMT7	ENSG00000132600
FAM136A	ENSG00000035141
RBM34	ENSG00000188739
ANAPC13	ENSG00000129055
BRD7P6	ENSG00000235289
TGFA-IT1	ENSG00000224606
RPL23AP23	ENSG00000236863
LILRA6	ENSG00000244482
KCNK1	ENSG00000135750
PSMD1	ENSG00000173692
MCCC2	ENSG00000131844
AMOTL2	ENSG00000114019
TEDDM1	ENSG00000203730
NMNAT1P2	ENSG00000225719
CLCA2	ENSG00000137975
RILPL2	ENSG00000150977
PLEKHA5	ENSG00000052126
FBXO3-DT	ENSG00000254508
LINC02722	ENSG00000255169
LINC02721	ENSG00000255133
OR10A6	ENSG00000279000
OR5B12	ENSG00000172362
LINC00272	ENSG00000203729
OR51V1	ENSG00000176742
VDAC1P10	ENSG00000232809
LINC02786	ENSG00000284623
OR8K3	ENSG00000280314
PFN1P8	ENSG00000244371
OR9G4	ENSG00000172457
LINC00582	ENSG00000229228
AMPD3	ENSG00000133805
LILRB5	ENSG00000105609
ABCC11	ENSG00000121270
C5orf38	ENSG00000186493
SLC41A3	ENSG00000114544
LINC01962	ENSG00000248473
HNRNPU	ENSG00000153187
TRIM7	ENSG00000146054
RPAIN	ENSG00000129197
RNU6-1307P	ENSG00000212314
LILRB2	ENSG00000131042
TRIM7-AS1	ENSG00000250900
TRIM41	ENSG00000146063
BET1L	ENSG00000177951
MIR4638	ENSG00000264732
GAS2	ENSG00000148935
IRX5	ENSG00000176842
RACK1	ENSG00000204628
RHOT1	ENSG00000126858
WNK1	ENSG00000060237
MTSS2	ENSG00000132613
METTL9	ENSG00000197006
TMEM108	ENSG00000144868
H2AX	ENSG00000188486
APLNR	ENSG00000134817
HTR3B	ENSG00000149305
SLC12A8	ENSG00000221955
ZSCAN32	ENSG00000140987
IFITM2	ENSG00000185201
ANAPC15	ENSG00000110200
MIR4752	ENSG00000264703
ARHGEF18	ENSG00000104880
APOBR	ENSG00000184730
NPIPB4	ENSG00000185864
CYP2A7	ENSG00000198077
OPA1	ENSG00000198836
MARCHF2	ENSG00000099785
TBX6	ENSG00000149922
ZNF573	ENSG00000189144
VPS35L	ENSG00000103544
LSM14A	ENSG00000257103
AAMDC	ENSG00000087884
SNORD96A	ENSG00000272296
SNORD95	ENSG00000264549
RNU6-705P	ENSG00000222533
TRIM52	ENSG00000183718
DNM1L	ENSG00000087470
LINC02900	ENSG00000249647
MACROH2A1	ENSG00000113648
LRRC51	ENSG00000184154
MKNK2	ENSG00000099875
OR5P3	ENSG00000182334
ZP1	ENSG00000149506
LSR	ENSG00000105699
BBS5	ENSG00000163093
HPS5	ENSG00000110756
GAPDHP24	ENSG00000185221
LINC01677	ENSG00000233047
HMCN1	ENSG00000143341
STAT5A	ENSG00000126561
KLHL41	ENSG00000239474
FASTKD1	ENSG00000138399
DCANP1	ENSG00000251380
TIFAB	ENSG00000255833
PDCD6	ENSG00000249915
RTBDN	ENSG00000132026
LINC01350	ENSG00000228309
GTF2H1	ENSG00000110768
PPIG	ENSG00000138398
SNX20	ENSG00000167208
PDC-AS1	ENSG00000229739
PDC	ENSG00000116703
NOMO1	ENSG00000103512
MIR6859-2	ENSG00000273874
U6	ENSG00000278757
MIR6808	ENSG00000284372
RNU1-8P	ENSG00000207056
MIR4689	ENSG00000264101
RN7SL451P	ENSG00000265141
RN7SKP269	ENSG00000202415
Y_RNA	ENSG00000222511
MIR5697	ENSG00000265521
RNU6-291P	ENSG00000207451
MIR4252	ENSG00000265392
RN7SL614P	ENSG00000243267
RNU6-304P	ENSG00000201725
RNU6-1072P	ENSG00000207434
MIR6728	ENSG00000274258
RNU6-771P	ENSG00000207511
SNORA59A	ENSG00000239149
RNU6-1265P	ENSG00000252151
MIR6726	ENSG00000278073
MIR551A	ENSG00000207776
FGFR4	ENSG00000160867
SNORA70	ENSG00000252969
RNU7-179P	ENSG00000252417
Y_RNA	ENSG00000200344
RNU1-7P	ENSG00000200975
RNU6ATAC18P	ENSG00000221340
MIR6730	ENSG00000276830
MIR6727	ENSG00000283712
MIR4253	ENSG00000264014
RNU4-28P	ENSG00000201609
RNU6-1208P	ENSG00000238482
RNA5SP40	ENSG00000252956
HPN	ENSG00000105707
MIR4695	ENSG00000265606
MIR1290	ENSG00000221662
MIR34A	ENSG00000284357
MIR6731	ENSG00000278034
Y_RNA	ENSG00000252802
RN7SL679P	ENSG00000243905
RNU6-110P	ENSG00000207237
RN7SKP91	ENSG00000222784
RNU6-48P	ENSG00000206888
RN7SL371P	ENSG00000266210
Y_RNA	ENSG00000265961
SCARNA21B	ENSG00000251866
MIR4425	ENSG00000264371
RNU6-176P	ENSG00000253005
Y_RNA	ENSG00000252098
MIR552	ENSG00000207941
MIR4420	ENSG00000264773
SNORA63	ENSG00000252448
Y_RNA	ENSG00000200421
RNU6-584P	ENSG00000222282
RNU6-605P	ENSG00000199963
MIR4255	ENSG00000264698
Y_RNA	ENSG00000207356
RNU6-636P	ENSG00000207328
Y_RNA	ENSG00000207466
RNA5SP43	ENSG00000252368
MIR1976	ENSG00000238705
Y_RNA	ENSG00000206779
MIR3159	ENSG00000264603
RNU7-29P	ENSG00000252429
MIR3659	ENSG00000265596
Y_RNA	ENSG00000202222
RNU6-510P	ENSG00000212541
RNU6-753P	ENSG00000200796
RN7SL290P	ENSG00000264613
RNA5SP46	ENSG00000199240
Metazoa_SRP	ENSG00000277168
LDHA	ENSG00000134333
MIR6732	ENSG00000283724
MIR6733	ENSG00000284410
RNU2-30P	ENSG00000252018
RNU6-969P	ENSG00000206627
U6	ENSG00000283414
RNU6-1237P	ENSG00000207508
Y_RNA	ENSG00000200171
RNU6-1026P	ENSG00000207194
MIR6079	ENSG00000283477
MIR5581	ENSG00000263675
RNU6-40P	ENSG00000206981
Y_RNA	ENSG00000200174
MIR4422	ENSG00000265822
RNU7-62P	ENSG00000238653
RNU6-414P	ENSG00000200575
RNU6-1177P	ENSG00000212360
RN7SL180P	ENSG00000242860
MIR3116-1	ENSG00000263908
MIR3116-2	ENSG00000283690
Metazoa_SRP	ENSG00000278702
RN7SL713P	ENSG00000264128
RN7SL122P	ENSG00000263529
RNU6-161P	ENSG00000199921
RN7SKP19	ENSG00000251825
RNU6-371P	ENSG00000201153
RNU2-15P	ENSG00000222624
RNU7-80P	ENSG00000238778
RNU6-622P	ENSG00000206999
RNU4-88P	ENSG00000223152
RNA5SP23	ENSG00000212308
MIR7156	ENSG00000276081
RN7SL62P	ENSG00000239640
RNU6-503P	ENSG00000252338
RNA5SP20	ENSG00000251785
Y_RNA	ENSG00000252784
RN7SL854P	ENSG00000239319
RNA5SP21	ENSG00000222849
MIR4781	ENSG00000283749
RNU6-1102P	ENSG00000251958
RNU7-8P	ENSG00000251767
RN7SL370P	ENSG00000243437
RNA5SP22	ENSG00000202263
BCL2L12	ENSG00000126453
RNA5SP52	ENSG00000199318
MIR4423	ENSG00000266110
SNORD3G	ENSG00000199666
MAZ	ENSG00000103495
MIR6068	ENSG00000275836
RNA5SP50	ENSG00000200601
RN7SL392P	ENSG00000242482
RNU6-1246P	ENSG00000212366
RNA5SP51	ENSG00000201620
Y_RNA	ENSG00000206817
MIR2682	ENSG00000284247
RNA5SP48	ENSG00000200839
RN7SL440P	ENSG00000264963
RN7SL488P	ENSG00000264271
MIR4794	ENSG00000264470
RNU6-1176P	ENSG00000212257
KCTD11	ENSG00000213859
RN7SL583P	ENSG00000239504
MIR137	ENSG00000284202
RNU7-123P	ENSG00000251720
MIR3671	ENSG00000265996
MIR30E	ENSG00000198974
RNU6-750P	ENSG00000212248
MIR101-1	ENSG00000199135
MIR30C1	ENSG00000207962
HOXB3	ENSG00000120093
RNU6-125P	ENSG00000207234
RNU6-1318P	ENSG00000202259
RNU6-695P	ENSG00000212459
MIR378G	ENSG00000263526
MIR760	ENSG00000211575
Y_RNA	ENSG00000202254
RN7SL130P	ENSG00000244256
RNU4-75P	ENSG00000201491
RN7SKP291	ENSG00000199831
MIR7852	ENSG00000275455
RNU6-830P	ENSG00000252162
Y_RNA	ENSG00000272051
MIR761	ENSG00000283899
RNU1-130P	ENSG00000200800
RNU6-965P	ENSG00000252530
MIR320B1	ENSG00000211543
RN7SKP272	ENSG00000252797
RNA5SP56	ENSG00000222209
Metazoa_SRP	ENSG00000277141
MIR942	ENSG00000215930
Y_RNA	ENSG00000201114
Y_RNA	ENSG00000206679
MIR7856	ENSG00000278281
MIR548AC	ENSG00000264419
U1	ENSG00000273727
RN7SKP285	ENSG00000222069
RNVU1-25	ENSG00000274428
RNVU1-22	ENSG00000199879
RNA5SP536	ENSG00000274408
MIR5087	ENSG00000283676
RNU4ATAC8P	ENSG00000252005
RNA5SP55	ENSG00000252510
RNVU1-1	ENSG00000207340
RNA5SP533	ENSG00000252830
RN7SL480P	ENSG00000266187
RNU1-154P	ENSG00000270384
RNU1-155P	ENSG00000252135
MIR6077	ENSG00000278596
RNVU1-2	ENSG00000238825
RNVU1-3	ENSG00000201183
RNVU1-21	ENSG00000202408
Y_RNA	ENSG00000252744
RNVU1-29	ENSG00000273768
SMG8	ENSG00000167447
RNU1-151P	ENSG00000201142
RN7SL372P	ENSG00000242565
RN7SL420P	ENSG00000239984
RNU2-17P	ENSG00000222222
MIR4256	ENSG00000283296
RNVU1-31	ENSG00000270722
RNU6-352P	ENSG00000252717
RNA5SP49	ENSG00000252259
RNU1-75P	ENSG00000194297
MIR554	ENSG00000207606
Y_RNA	ENSG00000199565
7SK	ENSG00000277313
MIR8083	ENSG00000274940
RN7SKP88	ENSG00000252656
RNU2-38P	ENSG00000222788
RNU6-160P	ENSG00000207321
Y_RNA	ENSG00000202078
RNU6-755P	ENSG00000201270
U2	ENSG00000273694
RNU5F-2P	ENSG00000251875
MYO19	ENSG00000278259
RNA5SP64	ENSG00000207341
RNU6-41P	ENSG00000207472
RNU6-1310P	ENSG00000206880
RNU6-307P	ENSG00000252552
RNU5F-6P	ENSG00000199849
RNU7-183P	ENSG00000252407
U3	ENSG00000212538
RNU6-983P	ENSG00000251813
Y_RNA	ENSG00000207108
RNA5SP72	ENSG00000201312
Y_RNA	ENSG00000207039
RNU6-716P	ENSG00000202491
RNU6-693P	ENSG00000251943
Y_RNA	ENSG00000201596
Metazoa_SRP	ENSG00000276839
RNU6-239P	ENSG00000212292
MIR557	ENSG00000207974
U7	ENSG00000273629
C1QTNF8	ENSG00000184471
RNU1-141P	ENSG00000201493
MIR921	ENSG00000215952
RNU6-778P	ENSG00000200139
U6	ENSG00000283575
RNA5SP57	ENSG00000238765
RN7SL230P	ENSG00000264916
RN7SL444P	ENSG00000265753
Y_RNA	ENSG00000206659
CMIP	ENSG00000153815
MIR181B1	ENSG00000207975
MIR181A1	ENSG00000207759
RNU2-12P	ENSG00000253025
MIR4654	ENSG00000266144
SNORA16B	ENSG00000201544
RNU6-171P	ENSG00000207082
SNORD116	ENSG00000202498
RNA5SP61	ENSG00000252262
TAF1B	ENSG00000115750
Metazoa_SRP	ENSG00000276359
MIR1255B2	ENSG00000221545
SCARNA3	ENSG00000252906
MIR556	ENSG00000207729
Y_RNA	ENSG00000201987
Y_RNA	ENSG00000206692
RNU6-609P	ENSG00000202329
MIR4735	ENSG00000265986
Metazoa_SRP	ENSG00000273573
RN7SL299P	ENSG00000242794
U8	ENSG00000212144
MIR3119-1	ENSG00000283340
RNU6-570P	ENSG00000252860
RNU4-77P	ENSG00000252501
RNU6-968P	ENSG00000206803
MIR4260	ENSG00000283876
MIR3119-2	ENSG00000263390
RNA5SP70	ENSG00000252977
SNORA14B	ENSG00000207181
MIR4427	ENSG00000265744
MIR4671	ENSG00000264377
RNU6-465P	ENSG00000207149
RNU6-1171P	ENSG00000252515
RN7SKP229	ENSG00000222397
MIR3658	ENSG00000283936
MIR190B	ENSG00000215938
MIR205	ENSG00000284485
MIR135B	ENSG00000199059
RNY4P16	ENSG00000201638
Metazoa_SRP	ENSG00000275213
RN7SL333P	ENSG00000239494
RNU6-747P	ENSG00000212230
RNU6-725P	ENSG00000252371
RN7SL431P	ENSG00000264384
Y_RNA	ENSG00000199442
RNU6-403P	ENSG00000200033
RN7SL668P	ENSG00000239690
RNU6-1283P	ENSG00000202184
RN7SL344P	ENSG00000241395
Y_RNA	ENSG00000200982
Metazoa_SRP	ENSG00000264809
MIR6740	ENSG00000275207
MIR4753	ENSG00000263439
RNY4P25	ENSG00000238711
RN7SKP126	ENSG00000223075
RNU4-42P	ENSG00000201608
RNU6-487P	ENSG00000202300
RNU6-121P	ENSG00000222457
RNA5SP80	ENSG00000222407
RNU5A-5P	ENSG00000222986
MIR3121	ENSG00000265435
RNU6-89P	ENSG00000272262
RNU6-1248P	ENSG00000212398
RNU6-1205P	ENSG00000200495
MIR488	ENSG00000202609
MIR5008	ENSG00000264483
RNA5SP73	ENSG00000252553
RNA5SP69	ENSG00000201347
RNU6-152P	ENSG00000206764
RN7SKP156	ENSG00000222240
SNORA70H	ENSG00000206637
RNU2-19P	ENSG00000253097
RNA5SP65	ENSG00000200036
Y_RNA	ENSG00000201421
U3	ENSG00000212610
RN7SKP49	ENSG00000252484
MIR1537	ENSG00000222831
SNORA72	ENSG00000201944
RNA5SP62	ENSG00000200327
Y_RNA	ENSG00000206905
RNA5SP76	ENSG00000252086
RNU5A-8P	ENSG00000200972
RN7SL269P	ENSG00000243051
RNU6-1319P	ENSG00000212157
Y_RNA	ENSG00000207326
Y_RNA	ENSG00000212205
SNORA70	ENSG00000253042
PRR19	ENSG00000188368
MIR3122	ENSG00000264358
GRHL1	ENSG00000134317
Y_RNA	ENSG00000206640
RNA5SP63	ENSG00000212527
RN7SKP98	ENSG00000252879
Y_RNA	ENSG00000252612
RNA5SP77	ENSG00000202264
LAT	ENSG00000213658
5S_rRNA	ENSG00000285609
RNU6-418P	ENSG00000206762
RN7SKP12	ENSG00000252084
Y_RNA	ENSG00000200085
MIR3124	ENSG00000264500
RNU6-1240P	ENSG00000202025
SNORA58B	ENSG00000201129
MIR4426	ENSG00000283795
Y_RNA	ENSG00000206990
DPP9	ENSG00000142002
TMCO1-AS1	ENSG00000224358
CAMK2N1	ENSG00000162545
MUL1	ENSG00000090432
RPS4XP4	ENSG00000215520
PRMT1P1	ENSG00000270706
FAM43B	ENSG00000183114
RAB24	ENSG00000169228
CDA	ENSG00000158825
PINK1	ENSG00000158828
TBC1D30	ENSG00000111490
SAA1	ENSG00000173432
MIR6084	ENSG00000284005
PINK1-AS	ENSG00000117242
ZNF101P2	ENSG00000234473
SCARNA18B	ENSG00000238754
CDC73	ENSG00000134371
KLF11	ENSG00000172059
CLLU1-AS1	ENSG00000205057
CLLU1	ENSG00000257127
MIR4491	ENSG00000264032
KRT19P2	ENSG00000216306
POU2AF1	ENSG00000110777
MIR492	ENSG00000283998
NR2C1	ENSG00000120798
PRELID1	ENSG00000169230
RRM2	ENSG00000171848
MIR1278	ENSG00000221680
B3GALT2	ENSG00000162630
Metazoa_SRP	ENSG00000276735
